,all_time_quantity_sold,product_id,seller_id,category_id,brand_id
451,352,73312665,25203,28840,18845
452,383,68600962,95215,5350,505907
453,1516,97346988,1,1846,25422
454,848,53181542,65686,28944,111461
455,87,709035,217686,4454,112149
456,1019,32246331,65686,28944,111461
457,1074,67619329,27572,28906,18991
458,726,74561661,154163,4294,27464
459,212,9979633,73012,28920,111461
460,288,110055062,73012,5350,111461
461,3469,53704413,65686,1846,111461
462,884,44012580,25203,1846,18802
463,258,44012841,25203,2679,18802
464,101,136981085,49929,1828,927055
465,408,15215426,73012,28900,111461
466,2727,138481685,1,6255,19246
467,143,187392403,25203,28840,18802
468,321,74311543,154163,4293,27464
469,957,10001369,25203,2679,18802
470,2244,38323087,25203,28842,21862
471,1120,26314426,73012,4642,111461
472,9979,134561311,783,1828,18845
473,2638,8608925,65686,28944,111461
474,490,46634155,73012,4642,111461
475,297,173164642,73012,4642,195495
476,255,217317583,25203,5350,110682
477,353,171869909,73012,4642,195495
478,142,216462048,25203,5350,110682
479,726,21089128,154163,4294,27464
480,4325,74975883,154163,4293,27464
481,2917,54439144,154163,1846,27464
482,2312,52373199,65686,28944,111461
483,1696,160440903,65836,1828,19073
484,378,25319983,49929,1828,18845
485,703,24255305,64160,1846,111461
486,389,174029994,65836,1828,19073
487,2978,53254176,65686,1846,111461
488,2725,124742926,1,2458,17827
489,1630,134641513,49929,1828,18845
490,935,416978,154163,4294,27464
491,2221,419322,1,1846,18806
492,7,12477248,329374,4642,111461
493,976,74573141,154163,4293,27464
494,2422,17967481,129537,4343,25422
495,2137,76030024,154163,1846,27464
496,249,65107101,25203,28840,18802
497,1398,806744,45,1828,111460
498,184,416911,154163,4294,27464
499,352,73312665,25203,28840,18845
500,383,68600962,95215,5350,505907
501,1516,97346988,1,1846,25422
502,848,53181542,65686,28944,111461
503,87,709035,217686,4454,112149
504,1019,32246331,65686,28944,111461
505,1074,67619329,27572,28906,18991
506,726,74561661,154163,4294,27464
507,212,9979633,73012,28920,111461
508,288,110055062,73012,5350,111461
509,3469,53704413,65686,1846,111461
510,884,44012580,25203,1846,18802
511,258,44012841,25203,2679,18802
512,101,136981085,49929,1828,927055
513,408,15215426,73012,28900,111461
514,2727,138481685,1,6255,19246
515,143,187392403,25203,28840,18802
516,321,74311543,154163,4293,27464
517,957,10001369,25203,2679,18802
518,2244,38323087,25203,28842,21862
519,1120,26314426,73012,4642,111461
520,9979,134561311,783,1828,18845
521,2638,8608925,65686,28944,111461
522,490,46634155,73012,4642,111461
523,297,173164642,73012,4642,195495
524,255,217317583,25203,5350,110682
525,353,171869909,73012,4642,195495
526,142,216462048,25203,5350,110682
527,726,21089128,154163,4294,27464
528,4325,74975883,154163,4293,27464
529,2917,54439144,154163,1846,27464
530,2312,52373199,65686,28944,111461
531,1696,160440903,65836,1828,19073
532,378,25319983,49929,1828,18845
533,703,24255305,64160,1846,111461
